"numbering_slot","manuscript_label","title","kind","section","status","source_type","required_in_validation","pdf_display","canonical_stub","canonical_artifact_path","alias_stub","alias_artifact_path","deprecated_replacement","analysis_family","run_id","run_ts"
"Figure 1","Figure 1","Cohort assembly and target population for inverse probability-of-sampling weighting","figure","main","generated","notebook_generated",TRUE,TRUE,"cohort_flow","Results/cohort_flow.png","figure_1_cohort_assembly_target_population_ipsw","Results/figs/figure_1_cohort_assembly_target_population_ipsw.png","","main","20260421_073405","2026-04-21 07:34:05.211923"
"Figure 2","Figure 2","Primary MI-logistic IPSW-weighted spline associations of pCO2 with clinical outcomes by ABG and VBG","figure","main","generated","notebook_generated",TRUE,TRUE,"key-results-spline-main-mi-ipw-abg-vbg","Results/figs/key-results-spline-main-mi-ipw-abg-vbg.png","figure_2_primary_weighted_spline_associations_abg_vbg","Results/figs/figure_2_primary_weighted_spline_associations_abg_vbg.png","","main_mi_ipw_spline","20260421_073405","2026-04-21 07:34:05.211923"
"Table 1","Table 1","Baseline characteristics of the analytic cohort overall and by receipt of arterial and venous blood gas testing","table","main","generated","notebook_generated",TRUE,TRUE,"table1_combined","Results/table1_combined.pdf","table_1_baseline_characteristics_analytic_cohort","Results/table_1_baseline_characteristics_analytic_cohort.pdf","","baseline","20260421_073405","2026-04-21 07:34:05.211923"
"Table 2","Table 2","MI-pooled, MI-logistic IPSW-weighted 3-level categorical results for ABG and VBG","table","main","generated","notebook_generated",TRUE,TRUE,"table_2_weighted_categorical_outcomes","Results/table_2_weighted_categorical_outcomes.pdf","table_2_weighted_categorical_outcomes","Results/table_2_weighted_categorical_outcomes.pdf","","main_mi_weighted_categorical","20260421_073405","2026-04-21 07:34:05.211923"
"Figure S1","Figure S1","Covariate balance after MI logistic inverse-probability weighting for ABG and VBG test-ordering models","figure","supplement","generated","notebook_generated",TRUE,TRUE,"loveplot-mi-logistic-abg-vbg","Results/figs/loveplot-mi-logistic-abg-vbg.png","figure_s1_covariate_balance_mi_logistic_ipsw","Results/figs/figure_s1_covariate_balance_mi_logistic_ipsw.png","","mi_logistic_primary","20260421_073405","2026-04-21 07:34:05.211923"
"Figure S2","Figure S2","Propensity-score overlap for MI logistic ABG and VBG test-ordering models","figure","supplement","generated","notebook_generated",TRUE,TRUE,"propensity-histograms-mi-logistic","Results/figs/propensity-histograms-mi-logistic.png","figure_s2_propensity_score_overlap_mi_logistic","Results/figs/figure_s2_propensity_score_overlap_mi_logistic.png","","mi_logistic_primary","20260421_073405","2026-04-21 07:34:05.211923"
"Figure S3","Figure S3","SHAP-style contribution summaries for MI logistic ABG and VBG test-ordering models","figure","supplement","generated","notebook_generated",TRUE,TRUE,"shap-top10-mi-logistic-abg-vbg","Results/figs/shap-top10-mi-logistic-abg-vbg.png","figure_s3_shap_style_contributions_mi_logistic","Results/figs/figure_s3_shap_style_contributions_mi_logistic.png","","mi_logistic_primary","20260421_073405","2026-04-21 07:34:05.211923"
"Figure S4","Figure S4","MI-logistic IPSW-weighted categorical associations of pCO2 category with clinical outcomes by ABG and VBG","figure","supplement","generated","notebook_generated",TRUE,TRUE,"key-results-cat3-main-mi-ipw-abg-vbg","Results/figs/key-results-cat3-main-mi-ipw-abg-vbg.png","figure_s4_weighted_categorical_associations_abg_vbg","Results/figs/figure_s4_weighted_categorical_associations_abg_vbg.png","Figure 3","mi_weighted_categorical","20260421_073405","2026-04-21 07:34:05.211923"
"Figure S5","Figure S5","Unweighted covariate-adjusted spline associations of pCO2 with clinical outcomes by ABG and VBG","figure","supplement","generated","notebook_generated",TRUE,TRUE,"key-results-spline-adjusted-abg-vbg","Results/figs/key-results-spline-adjusted-abg-vbg.png","figure_s5_unweighted_adjusted_spline_abg_vbg","Results/figs/figure_s5_unweighted_adjusted_spline_abg_vbg.png","","unweighted_adjusted","20260421_073405","2026-04-21 07:34:05.211923"
"Table S2","Table S2","Crude associations of pCO2 category with clinical outcomes by ABG and VBG","table","supplement","generated","notebook_generated",TRUE,TRUE,"table_s2_crude_threelevel","Results/table_s2_crude_threelevel.pdf","table_s2_crude_threelevel","Results/table_s2_crude_threelevel.pdf","","crude","20260421_073405","2026-04-21 07:34:05.211923"
"Table S3","Table S3","GBM IPSW-weighted associations of pCO2 category with clinical outcomes by ABG and VBG","table","supplement","generated","notebook_generated",TRUE,TRUE,"table_s3_gbm_threelevel","Results/table_s3_gbm_threelevel.pdf","table_s3_gbm_threelevel","Results/table_s3_gbm_threelevel.pdf","","gbm_sensitivity","20260421_073405","2026-04-21 07:34:05.211923"
"Figure S6","Figure S6","Covariate balance after gradient-boosted propensity weighting for ABG and VBG test-ordering models","figure","supplement","generated","notebook_generated",TRUE,TRUE,"loveplot-ipw-gbm-abg-vbg","Results/figs/loveplot-ipw-gbm-abg-vbg.png","figure_s6_covariate_balance_gbm_weighting","Results/figs/figure_s6_covariate_balance_gbm_weighting.png","","gbm_sensitivity","20260421_073405","2026-04-21 07:34:05.211923"
"Figure S7","Figure S7","Propensity-score overlap for gradient-boosted ABG and VBG test-ordering models","figure","supplement","generated","notebook_generated",TRUE,TRUE,"propensity-histograms-conditional","Results/figs/propensity-histograms-conditional.png","figure_s7_propensity_score_overlap_gbm","Results/figs/figure_s7_propensity_score_overlap_gbm.png","","gbm_sensitivity","20260421_073405","2026-04-21 07:34:05.211923"
"Figure S8","Figure S8","SHAP-style contribution summaries for gradient-boosted ABG and VBG test-ordering models","figure","supplement","generated","notebook_generated",TRUE,TRUE,"shap-top10-ipw-gbm-abg-vbg","Results/figs/shap-top10-ipw-gbm-abg-vbg.png","figure_s8_shap_style_contributions_gbm","Results/figs/figure_s8_shap_style_contributions_gbm.png","","gbm_sensitivity","20260421_073405","2026-04-21 07:34:05.211923"
"Table S1","Table S1","Inclusion criteria into the enriched sample","table","supplement","generated","notebook_generated",TRUE,TRUE,"table_s1_inclusion_criteria","Results/table_s1_inclusion_criteria.pdf","table_s1_inclusion_criteria","Results/table_s1_inclusion_criteria.pdf","","inclusion","20260421_073405","2026-04-21 07:34:05.211923"
"Table S4","Table S4","Missingness of baseline covariates used in the primary analysis","table","supplement","generated","notebook_generated",TRUE,TRUE,"table_s4_missingness_primary_analysis","Results/table_s4_missingness_primary_analysis.pdf","table_s4_missingness_primary_analysis","Results/table_s4_missingness_primary_analysis.pdf","","missingness","20260421_073405","2026-04-21 07:34:05.211923"
"Table S5","Table S5","Multiple-imputation diagnostic summary","table","supplement","generated","notebook_generated",TRUE,TRUE,"table_s5_mi_diagnostic_summary","Results/table_s5_mi_diagnostic_summary.pdf","table_s5_mi_diagnostic_summary","Results/table_s5_mi_diagnostic_summary.pdf","","mi_diagnostics","20260421_073405","2026-04-21 07:34:05.211923"
